Feature A,Feature B,Correlation
fixed acidity,fixed acidity,1.0
fixed acidity,volatile acidity,-0.26027333869593816
fixed acidity,citric acid,0.6838054949034026
fixed acidity,residual sugar,0.1383196201981956
fixed acidity,chlorides,0.09422892793865713
fixed acidity,free sulfur dioxide,-0.16116475612582656
fixed acidity,total sulfur dioxide,-0.11264005014795793
fixed acidity,density,0.6734855939394103
fixed acidity,pH,-0.6873705119625841
fixed acidity,sulphates,0.18225159052226328
fixed acidity,alcohol,-0.0555006923231005
fixed acidity,quality,0.12607681773603968
volatile acidity,fixed acidity,-0.26027333869593816
volatile acidity,volatile acidity,1.0
volatile acidity,citric acid,-0.5539510499164448
volatile acidity,residual sugar,0.04677515388618296
volatile acidity,chlorides,0.07044902947773347
volatile acidity,free sulfur dioxide,-0.004455059392605455
volatile acidity,total sulfur dioxide,0.09692077792563235
volatile acidity,density,0.02286459514698141
volatile acidity,pH,0.23285582132151617
volatile acidity,sulphates,-0.26990730001010554
volatile acidity,alcohol,-0.2025625732132967
volatile acidity,quality,-0.3932860663838822
citric acid,fixed acidity,0.6838054949034026
citric acid,volatile acidity,-0.5539510499164448
citric acid,citric acid,1.0
citric acid,residual sugar,0.13839736957774404
citric acid,chlorides,0.175220352236902
citric acid,free sulfur dioxide,-0.07848833584407383
citric acid,total sulfur dioxide,0.011498342465288773
citric acid,density,0.37426070577359416
citric acid,pH,-0.5360327014871832
citric acid,sulphates,0.3026720618108804
citric acid,alcohol,0.11357007114794171
citric acid,quality,0.23340959279716644
residual sugar,fixed acidity,0.1383196201981956
residual sugar,volatile acidity,0.04677515388618296
residual sugar,citric acid,0.13839736957774404
residual sugar,residual sugar,1.0
residual sugar,chlorides,0.022330463510483928
residual sugar,free sulfur dioxide,0.1039934730484252
residual sugar,total sulfur dioxide,0.14440082867152923
residual sugar,density,0.34413848055251706
residual sugar,pH,-0.06259248649925998
residual sugar,sulphates,0.010474629163409384
residual sugar,alcohol,0.10502927566233522
residual sugar,quality,0.01711505054614789
chlorides,fixed acidity,0.09422892793865713
chlorides,volatile acidity,0.07044902947773347
chlorides,citric acid,0.175220352236902
chlorides,residual sugar,0.022330463510483928
chlorides,chlorides,1.0
